NOC,Weight,TotalScore,Gold,Silver,Bronze,NoMedal
UKR,0.0,10.39689393707898,2.430631599973715,4.103761386342879,3.862500950762386,180.44287758918506
POL,0.0,10.554061910428686,2.3665218970131936,2.9018383769854816,5.2857016364300105,128.1800028587411
IRL,0.0,6.335961386511345,2.2464028755304724,2.435781189570223,1.653777321410649,36.0599307649147
LAT,0.0,3.1687803208072123,1.9955865751893058,0.5622299864023399,0.6109637592155664,24.719695663007734
HUN,0.5,9.10743665135469,1.8874097426685728,2.561099756008736,4.65892715267738,105.1758758308799
CZE,0.0,6.354194376400345,1.776135814117912,1.5411719953964522,3.036886566885981,81.84584185369994
SLO,0.0,8.957925609049173,1.7171092187867276,2.7240204365938983,4.516795953668548,29.03451756852342
NOR,0.0,2.129134600187963,1.5825225070361733,0.16398362794553697,0.38262846520625293,39.32460212580398
NZL,0.5,6.4356965230922984,1.406170425034613,1.5267127324332945,3.5028133656243905,87.42749144072806
LTU,0.0,2.761735424819217,1.3702064812788217,0.6097302000341815,0.7817987435062138,41.02255038917084
CRO,0.0,1.7816645725362061,1.3269056500761158,0.33619666946393867,0.11856225299615174,46.52537736786473
COL,0.0,4.978015577819631,1.2758107388947733,2.5613267096170302,1.1408781293078283,62.754514686441254
TUR,0.0,4.895127291049516,1.195670142626942,1.3745429822035193,2.324914166219054,61.072192101527136
ROU,0.0,2.758692909304596,1.1668295621051943,0.4876462177878067,1.104217129411595,77.40716258908715
TPE,0.0,3.8389106110309434,1.1029407679135708,1.2413346783691477,1.4946351647482248,34.26941547299545
EGY,0.0,2.158395842778549,1.0745181498021483,0.8929314563188322,0.1909462366575684,63.07183342476779
GEO,0.0,6.004428029476218,1.0525661747229895,1.177526856567063,3.7743349981861654,18.207987926458983
IND,0.0,3.434643174817599,0.9825769882101556,2.3115638733235695,0.14050231328387414,51.55051273308536
MAR,0.0,3.6695836762587506,0.8722995796743777,0.7269163163953147,2.0703677801890583,32.572827672126515
ALG,0.0,3.9241892000534144,0.8713246151537569,0.7261038459614642,2.3267607389381935,29.724983122801934
TUN,0.0,2.463242983009782,0.7742659082481763,0.4117006578545681,1.277276416907038,34.96502780771242
ARG,0.0,3.6371628412335797,0.6981140347794359,1.001823649197174,1.9372251572569699,74.12678364248528
DEN,0.0,5.2023852772223975,0.6160994851981387,0.9311226693931114,3.655163122631148,59.38489503445318
ISR,0.0,2.164462169222827,0.5729458683236897,0.47745489026974136,1.1140614106293965,31.838164686088593
SWE,0.0,2.1906484823335726,0.5196307115721477,0.1694438956621147,1.5015738750993102,81.77858893958627
ZIM,0.0,1.4287261451121038,0.4731904334531687,0.4907789558652776,0.46475675579365755,7.076289779329606
